t_s,delta_p_pu,delta_q_pu,delta_p_network_pu,delta_q_network_pu,p_network_abs_pu,q_network_abs_pu,delta_p_load_pu,delta_q_load_pu,asset_type
0.0,-2.8941848917440893e-12,-5.196132413232135e-11,-2.8941848917440893e-12,-5.196132413232135e-11,0.09999999999710601,-1.6276439080930607,0.0,0.0,GFM
0.01,-2.892047712421686e-12,-5.196465480139523e-11,-2.892047712421686e-12,-5.196465480139523e-11,0.09999999999710815,-1.627643908093064,0.0,0.0,GFM
0.02,-2.8899105330992825e-12,-5.196332253376568e-11,-2.8899105330992825e-12,-5.196332253376568e-11,0.09999999999711029,-1.6276439080930627,0.0,0.0,GFM
0.03,-2.8873570201426446e-12,-5.196465480139523e-11,-2.8873570201426446e-12,-5.196465480139523e-11,0.09999999999711284,-1.627643908093064,0.0,0.0,GFM
0.04,-2.885219840820241e-12,-5.196465480139523e-11,-2.885219840820241e-12,-5.196465480139523e-11,0.09999999999711498,-1.627643908093064,0.0,0.0,GFM
0.05,-2.8830826614978378e-12,-5.196643115823463e-11,-2.8830826614978378e-12,-5.196643115823463e-11,0.09999999999711712,-1.6276439080930658,0.0,0.0,GFM
0.06,-2.880751193146125e-12,-5.196465480139523e-11,-2.880751193146125e-12,-5.196465480139523e-11,0.09999999999711945,-1.627643908093064,0.0,0.0,GFM
0.07,-2.8786140138237215e-12,-5.196465480139523e-11,-2.8786140138237215e-12,-5.196465480139523e-11,0.09999999999712159,-1.627643908093064,0.0,0.0,GFM
0.08,-2.8775593019503276e-12,-5.196465480139523e-11,-2.8775593019503276e-12,-5.196465480139523e-11,0.09999999999712264,-1.627643908093064,0.0,0.0,GFM
0.09,-2.8766850013184353e-12,-5.196332253376568e-11,-2.8766850013184353e-12,-5.196332253376568e-11,0.09999999999712351,-1.6276439080930627,0.0,0.0,GFM
0.1,-2.875213955810807e-12,-5.196465480139523e-11,-2.875213955810807e-12,-5.196465480139523e-11,0.09999999999712499,-1.627643908093064,0.0,0.0,GFM
0.11,-2.8743396551789147e-12,-5.196643115823463e-11,-2.8743396551789147e-12,-5.196643115823463e-11,0.09999999999712586,-1.6276439080930658,0.0,0.0,GFM
0.12,-2.8730628987005957e-12,-5.1961546176926277e-11,-2.8730628987005957e-12,-5.1961546176926277e-11,0.09999999999712714,-1.627643908093061,0.0,0.0,GFM
0.13,-2.8717861422222768e-12,-5.1961546176926277e-11,-2.8717861422222768e-12,-5.1961546176926277e-11,0.09999999999712841,-1.627643908093061,0.0,0.0,GFM
0.14,-2.870731430348883e-12,-5.196465480139523e-11,-2.870731430348883e-12,-5.196465480139523e-11,0.09999999999712947,-1.627643908093064,0.0,0.0,GFM
0.15,-2.8698848852926062e-12,-5.196465480139523e-11,-2.8698848852926062e-12,-5.196465480139523e-11,0.09999999999713031,-1.627643908093064,0.0,0.0,GFM
0.16,-2.8698848852926062e-12,-5.196465480139523e-11,-2.8698848852926062e-12,-5.196465480139523e-11,0.09999999999713031,-1.627643908093064,0.0,0.0,GFM
0.17,-2.8700791743219156e-12,-5.196332253376568e-11,-2.8700791743219156e-12,-5.196332253376568e-11,0.09999999999713012,-1.6276439080930627,0.0,0.0,GFM
0.18,-2.8698848852926062e-12,-5.196465480139523e-11,-2.8698848852926062e-12,-5.196465480139523e-11,0.09999999999713031,-1.627643908093064,0.0,0.0,GFM
0.19,-2.8698848852926062e-12,-5.196465480139523e-11,-2.8698848852926062e-12,-5.196465480139523e-11,0.09999999999713031,-1.627643908093064,0.0,0.0,GFM
0.2,-2.8698848852926062e-12,-5.196465480139523e-11,-2.8698848852926062e-12,-5.196465480139523e-11,0.09999999999713031,-1.627643908093064,0.0,0.0,GFM
0.21,-2.8698848852926062e-12,-5.196465480139523e-11,-2.8698848852926062e-12,-5.196465480139523e-11,0.09999999999713031,-1.627643908093064,0.0,0.0,GFM
0.22,-2.8698710075047984e-12,-5.1961546176926277e-11,-2.8698710075047984e-12,-5.1961546176926277e-11,0.09999999999713033,-1.627643908093061,0.0,0.0,GFM
0.23,-2.8698848852926062e-12,-5.196465480139523e-11,-2.8698848852926062e-12,-5.196465480139523e-11,0.09999999999713031,-1.627643908093064,0.0,0.0,GFM
0.24,-2.8700791743219156e-12,-5.196643115823463e-11,-2.8700791743219156e-12,-5.196643115823463e-11,0.09999999999713012,-1.6276439080930658,0.0,0.0,GFM
0.25,-2.870509385743958e-12,-5.196332253376568e-11,-2.870509385743958e-12,-5.196332253376568e-11,0.09999999999712969,-1.6276439080930627,0.0,0.0,GFM
0.26,-0.004136749451134,0.03985561365595136,-0.004136749451134,0.03985561365595136,0.0958632505488662,-1.587788294385148,0.0,0.0,GFM
