t_s,delta_p_pu,delta_q_pu,delta_p_network_pu,delta_q_network_pu,p_network_abs_pu,q_network_abs_pu,delta_p_load_pu,delta_q_load_pu,asset_type
0.0,-3.3837099788769365e-12,-8.482103908136196e-14,-3.3837099788769365e-12,-8.482103908136196e-14,-0.20000000000338367,1.4934678055236683,0.0,0.0,GFL
0.01,-3.38762351503874e-12,-8.482103908136196e-14,-3.38762351503874e-12,-8.482103908136196e-14,-0.20000000000338758,1.4934678055236683,0.0,0.0,GFL
0.02,-3.392508496347091e-12,-8.837375276016246e-14,-3.392508496347091e-12,-8.837375276016246e-14,-0.20000000000339246,1.4934678055236648,0.0,0.0,GFL
0.03,-3.395922432147813e-12,-8.459899447643693e-14,-3.395922432147813e-12,-8.459899447643693e-14,-0.20000000000339588,1.4934678055236685,0.0,0.0,GFL
0.04,-3.3998082127340012e-12,-8.459899447643693e-14,-3.3998082127340012e-12,-8.459899447643693e-14,-0.20000000000339976,1.4934678055236685,0.0,0.0,GFL
0.05,-3.40438788271058e-12,-8.260059303211165e-14,-3.40438788271058e-12,-8.260059303211165e-14,-0.20000000000340434,1.4934678055236705,0.0,0.0,GFL
0.06,-3.408051618691843e-12,-8.08242361927114e-14,-3.408051618691843e-12,-8.08242361927114e-14,-0.200000000003408,1.4934678055236723,0.0,0.0,GFL
0.07,-3.4115488212194123e-12,-8.08242361927114e-14,-3.4115488212194123e-12,-8.08242361927114e-14,-0.2000000000034115,1.4934678055236723,0.0,0.0,GFL
0.08,-3.4137137561174313e-12,-8.08242361927114e-14,-3.4137137561174313e-12,-8.08242361927114e-14,-0.20000000000341367,1.4934678055236723,0.0,0.0,GFL
0.09,-3.4159342021666816e-12,-8.415490526658687e-14,-3.4159342021666816e-12,-8.415490526658687e-14,-0.2000000000034159,1.493467805523669,0.0,0.0,GFL
0.1,-3.417627292279235e-12,-8.060219158778636e-14,-3.417627292279235e-12,-8.060219158778636e-14,-0.20000000000341758,1.4934678055236725,0.0,0.0,GFL
0.11,-3.4195979381479447e-12,-8.237854842718662e-14,-3.4195979381479447e-12,-8.237854842718662e-14,-0.20000000000341955,1.4934678055236708,0.0,0.0,GFL
