t_s,delta_p_pu,p_abs_pu,p_initial_pu,delta_q_pu,q_abs_pu,q_initial_pu,asset_type,device_name
0.0,0.0,1.1000000000057921,1.1000000000057921,0.0,-1.327643908090776,-1.327643908090776,GFM,gen-1
0.01,1.5543122344752192e-15,1.1000000000057937,1.1000000000057921,-4.440892098500626e-16,-1.3276439080907765,-1.327643908090776,GFM,gen-1
0.02,1.5543122344752192e-15,1.1000000000057937,1.1000000000057921,-4.440892098500626e-16,-1.3276439080907765,-1.327643908090776,GFM,gen-1
0.03,1.3322676295501985e-15,1.1000000000057935,1.1000000000057921,-8.881784197001145e-16,-1.327643908090777,-1.327643908090776,GFM,gen-1
0.04,1.5543122344752192e-15,1.1000000000057937,1.1000000000057921,-6.661338147750816e-16,-1.3276439080907767,-1.327643908090776,GFM,gen-1
0.05,1.7763568394002505e-15,1.100000000005794,1.1000000000057921,-8.881784197001406e-16,-1.327643908090777,-1.327643908090776,GFM,gen-1
0.06,1.5543122344751975e-15,1.1000000000057937,1.1000000000057921,-1.1102230246251565e-15,-1.3276439080907771,-1.327643908090776,GFM,gen-1
0.07,1.5543122344752377e-15,1.1000000000057937,1.1000000000057921,-6.66133814775131e-16,-1.3276439080907767,-1.327643908090776,GFM,gen-1
0.08,1.3322676295501878e-15,1.1000000000057935,1.1000000000057921,-1.1102230246251565e-15,-1.3276439080907771,-1.327643908090776,GFM,gen-1
0.09,1.7763568394002505e-15,1.100000000005794,1.1000000000057921,-8.881784197001252e-16,-1.327643908090777,-1.327643908090776,GFM,gen-1
0.1,1.5543122344752192e-15,1.1000000000057937,1.1000000000057921,-6.661338147751247e-16,-1.3276439080907767,-1.327643908090776,GFM,gen-1
0.11,1.5543122344752192e-15,1.1000000000057937,1.1000000000057921,-8.881784197001252e-16,-1.327643908090777,-1.327643908090776,GFM,gen-1
0.12,1.7763568394002073e-15,1.100000000005794,1.1000000000057921,-1.1102230246251134e-15,-1.3276439080907771,-1.327643908090776,GFM,gen-1
0.13,1.7763568394002134e-15,1.100000000005794,1.1000000000057921,-1.1102230246251934e-15,-1.3276439080907771,-1.327643908090776,GFM,gen-1
0.14,1.5543122344752192e-15,1.1000000000057937,1.1000000000057921,-8.881784197001623e-16,-1.327643908090777,-1.327643908090776,GFM,gen-1
0.15,1.5543122344752192e-15,1.1000000000057937,1.1000000000057921,-1.1102230246251565e-15,-1.3276439080907771,-1.327643908090776,GFM,gen-1
0.16,1.3322676295501878e-15,1.1000000000057935,1.1000000000057921,-8.881784197002238e-16,-1.327643908090777,-1.327643908090776,GFM,gen-1
0.17,1.5543122344751699e-15,1.1000000000057937,1.1000000000057921,-1.1102230246251072e-15,-1.3276439080907771,-1.327643908090776,GFM,gen-1
0.18,1.3322676295502494e-15,1.1000000000057935,1.1000000000057921,-8.881784197001252e-16,-1.327643908090777,-1.327643908090776,GFM,gen-1
0.19,1.5543122344752192e-15,1.1000000000057937,1.1000000000057921,-1.110223024625095e-15,-1.3276439080907771,-1.327643908090776,GFM,gen-1
0.2,1.7763568394002505e-15,1.100000000005794,1.1000000000057921,-1.1102230246251565e-15,-1.3276439080907771,-1.327643908090776,GFM,gen-1
0.21,1.3322676295501878e-15,1.1000000000057935,1.1000000000057921,-8.881784197001252e-16,-1.327643908090777,-1.327643908090776,GFM,gen-1
0.22,1.5543122344751452e-15,1.1000000000057937,1.1000000000057921,-1.3322676295501139e-15,-1.3276439080907774,-1.327643908090776,GFM,gen-1
0.23,1.3322676295502618e-15,1.1000000000057935,1.1000000000057921,-8.881784197001252e-16,-1.327643908090777,-1.327643908090776,GFM,gen-1
0.24,1.5543122344753055e-15,1.1000000000057937,1.1000000000057921,-1.1102230246252427e-15,-1.3276439080907771,-1.327643908090776,GFM,gen-1
0.25,1.5543122344752192e-15,1.1000000000057937,1.1000000000057921,-1.1102230246251565e-15,-1.3276439080907771,-1.327643908090776,GFM,gen-1
0.26,0.0653885373908419,1.1653885373966342,1.1000000000057921,0.0018312816464092292,-1.325812626444367,-1.327643908090776,GFM,gen-1
0.27,0.11058868425825008,1.2105886842640423,1.1000000000057921,0.030396591264383644,-1.2972473168263923,-1.327643908090776,GFM,gen-1
0.28,0.14679211908254586,1.2467921190883378,1.1000000000057921,0.047993929994070164,-1.2796499780967059,-1.327643908090776,GFM,gen-1
0.29,0.13145746341488027,1.2314574634206723,1.1000000000057921,0.05304332737108523,-1.2746005807196907,-1.327643908090776,GFM,gen-1
0.3,0.11028029502781501,1.2102802950336071,1.1000000000057921,0.05288222048674814,-1.2747616876040277,-1.327643908090776,GFM,gen-1
0.31,0.1036593398195408,1.203659339825333,1.1000000000057921,0.04237372478257992,-1.285270183308196,-1.327643908090776,GFM,gen-1
0.32,0.10491844207390365,1.2049184420796957,1.1000000000057921,0.032055358427439555,-1.2955885496633364,-1.327643908090776,GFM,gen-1
0.33,0.11179446547868643,1.2117944654844786,1.1000000000057921,0.029767961686440605,-1.2978759464043355,-1.327643908090776,GFM,gen-1
0.34,0.11757063355494275,1.2175706335607348,1.1000000000057921,0.032318550097770786,-1.2953253579930053,-1.327643908090776,GFM,gen-1
0.35,0.11664308099838133,1.2166430810041735,1.1000000000057921,0.03559189452088092,-1.292052013569895,-1.327643908090776,GFM,gen-1
0.36,0.11135809983326331,1.2113580998390554,1.1000000000057921,0.03714452732554572,-1.2904993807652303,-1.327643908090776,GFM,gen-1
0.37,0.10584429851970488,1.205844298525497,1.1000000000057921,0.036219696027333624,-1.2914242120634423,-1.327643908090776,GFM,gen-1
0.38,0.10211604450495729,1.2021160445107493,1.1000000000057921,0.03421965570703759,-1.2934242523837385,-1.327643908090776,GFM,gen-1
0.39,0.10026503585492325,1.2002650358607154,1.1000000000057921,0.03285427524672894,-1.2947896328440471,-1.327643908090776,GFM,gen-1
0.4,0.09898144799669999,1.198981448002492,1.1000000000057921,0.032631951593646145,-1.2950119564971299,-1.327643908090776,GFM,gen-1
0.41,0.09691426075132058,1.1969142607571126,1.1000000000057921,0.03309995423078284,-1.2945439538599932,-1.327643908090776,GFM,gen-1
0.42,0.09376773076464529,1.1937677307704373,1.1000000000057921,0.0335437916076037,-1.2941001164831722,-1.327643908090776,GFM,gen-1
0.43,0.09007727750214167,1.1900772775079338,1.1000000000057921,0.03352961591929284,-1.2941142921714832,-1.327643908090776,GFM,gen-1
0.44,0.08650363677613318,1.1865036367819253,1.1000000000057921,0.03310252295947016,-1.294541385131306,-1.327643908090776,GFM,gen-1
0.45,0.08337790296826811,1.18337790297406,1.1000000000057921,0.0325671303793524,-1.2950767777114236,-1.327643908090776,GFM,gen-1
0.46,0.08062475956499222,1.1806247595707842,1.1000000000057921,0.03216539897781961,-1.2954785091129564,-1.327643908090776,GFM,gen-1
0.47,0.07798735934208868,1.1779873593478807,1.1000000000057921,0.03193833458187957,-1.2957055735088965,-1.327643908090776,GFM,gen-1
0.48,0.07529589867697499,1.175295898682767,1.1000000000057921,0.03177926510233544,-1.2958646429884406,-1.327643908090776,GFM,gen-1
0.49,0.07256348925320612,1.1725634892589982,1.1000000000057921,0.03156357797503443,-1.2960803301157415,-1.327643908090776,GFM,gen-1
0.5,0.06991566443511107,1.1699156644409032,1.1000000000057921,0.031241380440073803,-1.2964025276507023,-1.327643908090776,GFM,gen-1
0.51,0.06747209559973211,1.1674720956055242,1.1000000000057921,0.030842701907283776,-1.2968012061834922,-1.327643908090776,GFM,gen-1
0.52,0.06527739122453298,1.1652773912303251,1.1000000000057921,0.03042585158140547,-1.2972180565093705,-1.327643908090776,GFM,gen-1
0.53,0.06330864677933842,1.1633086467851306,1.1000000000057921,0.030027873662774263,-1.2976160344280017,-1.327643908090776,GFM,gen-1
0.54,0.06152477412042375,1.1615247741262158,1.1000000000057921,0.02964967636924808,-1.2979942317215278,-1.327643908090776,GFM,gen-1
0.55,0.05990677421035386,1.1599067742161462,1.1000000000057921,0.02927184465020382,-1.2983720634405722,-1.327643908090776,GFM,gen-1
0.56,0.05846512448500086,1.158465124490793,1.1000000000057921,0.028878262723470313,-1.2987656453673058,-1.327643908090776,GFM,gen-1
0.57,0.05722264358828418,1.1572226435940764,1.1000000000057921,0.028468259018027936,-1.2991756490727482,-1.327643908090776,GFM,gen-1
0.58,0.05619430250555158,1.1561943025113437,1.1000000000057921,0.028053498210025264,-1.299590409880751,-1.327643908090776,GFM,gen-1
0.59,0.05537900781200246,1.1553790078177946,1.1000000000057921,0.027647834597810866,-1.2999960734929652,-1.327643908090776,GFM,gen-1
0.6,0.05476428175203986,1.1547642817578319,1.1000000000057921,0.027259810589626076,-1.3003840975011498,-1.327643908090776,GFM,gen-1
0.61,0.05433556258074241,1.1543355625865346,1.1000000000057921,0.026891800705510786,-1.300752107385265,-1.327643908090776,GFM,gen-1
