t_s,V_pu,delta_V_pu,V_initial_pu
1.25,1.0229686841362355,-0.007031315868570198,1.0300000000048057
1.26,1.0230049148877807,-0.006995085117025068,1.0300000000048057
1.27,1.023042878408373,-0.006957121596432803,1.0300000000048057
1.28,1.0230824308421882,-0.006917569162617543,1.0300000000048057
1.29,1.023123429077525,-0.006876570927280667,1.0300000000048057
1.3,1.0231657312469191,-0.006834268757886619,1.0300000000048057
1.31,1.0232091971870014,-0.006790802817804309,1.0300000000048057
1.32,1.023253688856208,-0.0067463111485976945,1.0300000000048057
1.33,1.023299070711134,-0.00670092929367172,1.0300000000048057
1.34,1.0233452100402536,-0.006654789964552155,1.0300000000048057
1.35,1.0233919772563327,-0.0066080227484730525,1.0300000000048057
1.36,1.0234392461471413,-0.006560753857664414,1.0300000000048057
1.37,1.0234868940862831,-0.00651310591852261,1.0300000000048057
1.38,1.0235348022049597,-0.006465197799846001,1.0300000000048057
1.39,1.0235828555266717,-0.006417144478134018,1.0300000000048057
1.4,1.0236309430665602,-0.006369056938245521,1.0300000000048057
1.41,1.0236789578980383,-0.006321042106767427,1.0300000000048057
1.42,1.0237267971886723,-0.006273202816133416,1.0300000000048057
1.43,1.0237743622087427,-0.006225637796062999,1.0300000000048057
1.44,1.0238215583144377,-0.006178441690368075,1.0300000000048057
1.45,1.0238682949097144,-0.006131705095091311,1.0300000000048057
1.46,1.0239144853886477,-0.006085514616158028,1.0300000000048057
1.47,1.0239600470627348,-0.006039952942070936,1.0300000000048057
1.48,1.024004901074584,-0.005995098930221765,1.0300000000048057
1.49,1.0240489723027877,-0.005951027702018052,1.0300000000048057
1.5,1.0240921892588268,-0.005907810745978903,1.0300000000048057
1.51,1.0241344839810702,-0.005865516023735529,1.0300000000048057
1.52,1.0241757919257817,-0.0058242080790240625,1.0300000000048057
1.53,1.024216051860398,-0.005783948144407747,1.0300000000048057
1.54,1.0242552057585579,-0.005744794246247853,1.0300000000048057
1.55,1.024293198700721,-0.00570680130408463,1.0300000000048057
1.56,1.0243299787814695,-0.0056700212233362635,1.0300000000048057
1.57,1.0243654970240332,-0.0056345029807725044,1.0300000000048057
1.58,1.024399707305196,-0.00560029269960971,1.0300000000048057
1.59,1.0244325662889155,-0.005567433715890191,1.0300000000048057
1.6,1.0244640333720236,-0.005535966632782108,1.0300000000048057
1.61,1.0244940706399042,-0.005505929364901574,1.0300000000048057
