t_s,delta_pm_pu,Pm0_pu_sysbase
0.97,0.03419639882667351,1.1175729314688707
0.98,0.03471509959088217,1.1175729314688707
0.99,0.03522363115299326,1.1175729314688707
1.0,0.03572195763401052,1.1175729314688707
1.01,0.036210061486806736,1.1175729314688707
1.02,0.03668794152904737,1.1175729314688707
1.03,0.0371556110230093,1.1175729314688707
1.04,0.03761309582052993,1.1175729314688707
1.05,0.03806043258708892,1.1175729314688707
1.06,0.038497667118144334,1.1175729314688707
1.07,0.038924852759865035,1.1175729314688707
1.08,0.03934204894378404,1.1175729314688707
1.09,0.03974931984315187,1.1175729314688707
1.1,0.04014673315799482,1.1175729314688707
1.11,0.040534359032828794,1.1175729314688707
1.12,0.040912269110601134,1.1175729314688707
1.13,0.04128053572383848,1.1175729314688707
1.14,0.041639231223068784,1.1175729314688707
1.15,0.04198842744078918,1.1175729314688707
1.16,0.04232819528796671,1.1175729314688707
1.17,0.04265860447885629,1.1175729314688707
1.18,0.04297972337862736,1.1175729314688707
1.19,0.04329161896731613,1.1175729314688707
1.2,0.043594356912722274,1.1175729314688707
1.21,0.043888001743850255,1.1175729314688707
1.22,0.04417261711612802,1.1175729314688707
1.23,0.04444826615871068,1.1175729314688707
1.24,0.04471501189400524,1.1175729314688707
1.25,0.044972917719074856,1.1175729314688707
1.26,0.04522204793840801,1.1175729314688707
1.27,0.04546246833754118,1.1175729314688707
1.28,0.04569424678679472,1.1175729314688707
1.29,0.04591745386485938,1.1175729314688707
1.3,0.04613216349194917,1.1175729314688707
1.31,0.046338453562457735,1.1175729314688707
1.32,0.04653640656798555,1.1175729314688707
1.33,0.04672611020120666,1.1175729314688707
1.34,0.04690765793278233,1.1175729314688707
1.35,0.04708114955265513,1.1175729314688707
1.36,0.047246691669286314,1.1175729314688707
1.37,0.04740439816012178,1.1175729314688707
1.38,0.047554390567036094,1.1175729314688707
1.39,0.047696798432947135,1.1175729314688707
1.4,0.04783175957400613,1.1175729314688707
1.41,0.04795942028552887,1.1175729314688707
1.42,0.04807993547754841,1.1175729314688707
1.43,0.04819346873981351,1.1175729314688707
1.44,0.048300192333663144,1.1175729314688707
1.45,0.048400287112151705,1.1175729314688707
1.46,0.04849394236736852,1.1175729314688707
1.47,0.04858135560775197,1.1175729314688707
1.48,0.04866273226573645,1.1175729314688707
1.49,0.048738285339767956,1.1175729314688707
1.5,0.04880823497232972,1.1175729314688707
1.51,0.04887280796897715,1.1175729314688707
