t_s,delta_p_pu,delta_q_pu,delta_p_network_pu,delta_q_network_pu,p_network_abs_pu,q_network_abs_pu,delta_p_load_pu,delta_q_load_pu,asset_type
0.17,6.638328775565583e-12,5.164872696195033e-11,6.638328775565583e-12,5.164872696195033e-11,0.11123731845001536,-0.12034971299723259,0.0,0.0,SG-slack
0.18,6.637856930780117e-12,5.1645202003847146e-11,6.637856930780117e-12,5.1645202003847146e-11,0.11123731845001489,-0.12034971299723611,0.0,0.0,SG-slack
0.19,6.637856930780117e-12,5.1645202003847146e-11,6.637856930780117e-12,5.1645202003847146e-11,0.11123731845001489,-0.12034971299723611,0.0,0.0,SG-slack
0.2,6.637856930780117e-12,5.1645202003847146e-11,6.637856930780117e-12,5.1645202003847146e-11,0.11123731845001489,-0.12034971299723611,0.0,0.0,SG-slack
0.21,6.637856930780117e-12,5.1645202003847146e-11,6.637856930780117e-12,5.1645202003847146e-11,0.11123731845001489,-0.12034971299723611,0.0,0.0,SG-slack
0.22,6.637856930780117e-12,5.1645202003847146e-11,6.637856930780117e-12,5.1645202003847146e-11,0.11123731845001489,-0.12034971299723611,0.0,0.0,SG-slack
0.23,6.637856930780117e-12,5.1645202003847146e-11,6.637856930780117e-12,5.1645202003847146e-11,0.11123731845001489,-0.12034971299723611,0.0,0.0,SG-slack
0.24,6.638328775565583e-12,5.164872696195033e-11,6.638328775565583e-12,5.164872696195033e-11,0.11123731845001536,-0.12034971299723259,0.0,0.0,SG-slack
0.25,6.637884686355733e-12,5.164872696195033e-11,6.637884686355733e-12,5.164872696195033e-11,0.11123731845001492,-0.12034971299723259,0.0,0.0,SG-slack
0.26,0.006636820082077971,0.093437100940062,0.006636820082077971,0.093437100940062,0.117874138525455,-0.02691261210881932,0.0,0.0,SG-slack
0.27,0.008176748367148101,0.062518570920844,0.008176748367148101,0.062518570920844,0.11941406681052513,-0.05783114212803732,0.0,0.0,SG-slack
0.28,0.013292438184371674,0.03185087955541484,0.013292438184371674,0.03185087955541484,0.1245297566277487,-0.08849883349346647,0.0,0.0,SG-slack
0.29,0.023916940551241106,0.028669379349606713,0.023916940551241106,0.028669379349606713,0.13515425899461814,-0.0916803336992746,0.0,0.0,SG-slack
0.3,0.03720058494600467,0.026339454704205886,0.03720058494600467,0.026339454704205886,0.1484379033893817,-0.09401025834467543,0.0,0.0,SG-slack
0.31,0.053012854771931295,0.028764470819958865,0.053012854771931295,0.028764470819958865,0.16425017321530833,-0.09158524222892245,0.0,0.0,SG-slack
0.32,0.07056492794561994,0.03225047041374991,0.07056492794561994,0.03225047041374991,0.18180224638899697,-0.0880992426351314,0.0,0.0,SG-slack
0.33,0.08898099877542154,0.029153809563348065,0.08898099877542154,0.029153809563348065,0.20021831721879857,-0.09119590348553325,0.0,0.0,SG-slack
0.34,0.10841196567195552,0.023174339859731247,0.10841196567195552,0.023174339859731247,0.21964928411533255,-0.09717537318915007,0.0,0.0,SG-slack
0.35,0.12901477486286192,0.018357293867113433,0.12901477486286192,0.018357293867113433,0.24025209330623895,-0.10199241918176788,0.0,0.0,SG-slack
0.36,0.15070687422427748,0.015227725488481406,0.15070687422427748,0.015227725488481406,0.2619441926676545,-0.10512198756039991,0.0,0.0,SG-slack
0.37,0.1733815360140692,0.013590374226860394,0.1733815360140692,0.013590374226860394,0.2846188544574462,-0.10675933882202092,0.0,0.0,SG-slack
0.38,0.19688721322769032,0.012354314922107104,0.19688721322769032,0.012354314922107104,0.30812453167106735,-0.10799539812677421,0.0,0.0,SG-slack
0.39,0.22108691127911695,0.010341925603108648,0.22108691127911695,0.010341925603108648,0.332324229722494,-0.11000778744577266,0.0,0.0,SG-slack
