t_s,delta_rad
0.0,0.0
0.01,0.0
0.02,0.0
0.03,0.0
0.04,0.0
0.05,0.0
0.06,0.0
0.07,0.0
0.08,0.0
0.09,0.0
0.1,0.0
0.11,0.0
0.12,0.0
0.13,0.0
0.14,0.0
0.15,0.0
0.16,0.0
0.17,0.0
0.18,0.0
0.19,0.0
0.2,0.0
0.21,0.0
0.22,0.0
0.23,0.0
0.24,0.0
0.25,0.0
0.26,-2.3819884884885838e-5
0.27,-0.00011166195037054971
0.28,-0.00031729155472959086
0.29,-0.0006860565269556917
0.3,-0.0011860505006410548
0.31,-0.001773561230339885
0.32,-0.0024363299514510014
0.33,-0.0031798185800887223
0.34,-0.0040151268926911276
0.35,-0.004947753444043965
0.36,-0.005970396605595249
0.37,-0.007068411131352939
0.38,-0.008228123717851041
0.39,-0.009440174994945868
0.4,-0.010698652402241323
0.41,-0.011998254260719522
0.42,-0.013332009254586986
0.43,-0.014691117242210883
0.44,-0.0160662258874204
0.45,-0.017448688427052404
0.46,-0.01883102537154275
0.47,-0.020206637274408124
0.48,-0.02156928636715184
0.49,-0.022912827384096706
0.5,-0.024231298282716394
0.51,-0.02551918332111697
0.52,-0.026771617282718742
0.53,-0.02798442790936915
0.54,-0.029154060053226592
0.55,-0.030277484902129552
0.56,-0.031352162680247535
0.57,-0.03237605958926553
0.58,-0.03334767922567784
0.59,-0.03426607164490581
0.6,-0.03513081025310993
0.61,-0.03594195001522234
0.62,-0.0366999853976015
0.63,-0.03740581725714744
0.64,-0.038060726280405174
0.65,-0.03866634567012617
0.66,-0.03922462795130118
0.67,-0.03973780599817358
0.68,-0.040208351638565905
0.69,-0.04063893518546474
0.7,-0.041032387207519706
0.71,-0.04139166201100671
0.72,-0.041719801767303374
0.73,-0.0420199008923361
0.74,-0.042295071124173925
0.75,-0.04254840815993967
0.76,-0.04278296053350641
0.77,-0.04300170099567382
0.78,-0.04320750035189202
0.79,-0.04340310367578816
0.8,-0.0435911089277748
0.81,-0.04377394810960821
0.82,-0.04395387113746247
0.83,-0.04413293248629986
0.84,-0.04431298062096693
0.85,-0.04449565011404463
0.86,-0.04468235636223179
0.87,-0.04487429283157668
0.88,-0.04507243071152865
0.89,-0.045277520916990666
0.9,-0.04549009826371593
0.91,-0.045710487707687694
0.92,-0.04593881242983209
0.93,-0.04617500363113505
0.94,-0.04641881181697024
0.95,-0.0466698194213513
0.96,-0.04692745455687762
0.97,-0.04719100571060311
0.98,-0.04745963719870253
0.99,-0.047732405173066955
1.0,-0.04800827400858248
1.01,-0.04828613288459251
1.02,-0.04856481238722478
1.03,-0.04884310097398703
1.04,-0.049119761138985626
1.05,-0.04939354513774257
1.06,-0.049663210136384195
1.07,-0.049927532662699295
