t_s,df_hz
0.0,-5.9818816566803434e-12
0.01,-5.9818816566803434e-12
0.02,-5.9818816566803434e-12
0.03,-5.9818816566803434e-12
0.04,-5.9818816566803434e-12
0.05,-5.9818816566803434e-12
0.06,-5.9818816566803434e-12
0.07,-5.9818816566803434e-12
0.08,-5.9818816566803434e-12
0.09,-5.9818816566803434e-12
0.1,-5.9818816566803434e-12
0.11,-5.9818816566803434e-12
0.12,-5.9818816566803434e-12
0.13,-5.9818816566803434e-12
0.14,-5.9818816566803434e-12
0.15,-5.9818816566803434e-12
0.16,-5.9818816566803434e-12
0.17,-5.9818816566803434e-12
0.18,-5.9818816566803434e-12
0.19,-5.9818816566803434e-12
0.2,-5.9818816566803434e-12
0.21,-5.9818816566803434e-12
0.22,-5.9818816566803434e-12
0.23,-5.9818816566803434e-12
0.24,-5.9818816566803434e-12
0.25,-5.9818816566803434e-12
0.26,-0.0016544310402294236
0.27,-0.0037286050323036644
0.28,-0.006841045404197483
0.29,-0.010053101117732962
0.3,-0.012622024815247808
0.31,-0.014806806809974515
0.32,-0.016891111111623273
0.33,-0.01902568677071114
0.34,-0.02126433999083023
0.35,-0.02348945797010576
0.36,-0.025558634813753735
0.37,-0.027429698324657137
0.38,-0.02913475577227156
0.39,-0.030725902192417946
0.4,-0.032235511352269826
0.41,-0.03366000831395609
0.42,-0.03497674109629381
0.43,-0.03616916540399939
0.44,-0.03723709288689
0.45,-0.038192304969152054
0.46,-0.0390485354509096
0.47,-0.039814293489836436
0.48,-0.04049245090257511
0.49,-0.041084195606967064
0.5,-0.04159274812215738
0.51,-0.04202438606138864
0.52,-0.04238713138756389
0.53,-0.042688864142005456
0.54,-0.04293633788509322
0.55,-0.0431353701205142
0.56,-0.043291563466862415
0.57,-0.04341081600192341
0.58,-0.04349932310160519
0.59,-0.04356323952393895
0.6,-0.04360833789347177
0.61,-0.04363987088885643
0.62,-0.043662625435956
0.63,-0.0436810343485931
0.64,-0.04369922895620315
0.65,-0.043721006222523846
0.66,-0.04374975606091693
0.67,-0.043788406575579114
0.68,-0.04383941283689935
0.69,-0.043904777969196285
0.7,-0.04398608078416078
0.71,-0.04408449280459795
0.72,-0.04420078431289458
0.73,-0.04433532905217248
0.74,-0.04448811656972593
0.75,-0.044658774386614274
