t_s,delta_p_pu,p_abs_pu,p_initial_pu,delta_q_pu,q_abs_pu,q_initial_pu,asset_type,device_name
0.0,0.0,1.1112373184701925,1.1112373184701925,0.0,0.17965028700618052,0.17965028700618052,SG-slack,gen-3
0.01,0.0,1.1112373184701925,1.1112373184701925,-5.551115123125783e-17,0.17965028700618046,0.17965028700618052,SG-slack,gen-3
0.02,4.440892098500503e-16,1.111237318470193,1.1112373184701925,-2.5257573810221617e-15,0.179650287006178,0.17965028700618052,SG-slack,gen-3
0.03,1.7763568394001643e-15,1.1112373184701942,1.1112373184701925,1.1102230246250757e-16,0.17965028700618063,0.17965028700618052,SG-slack,gen-3
0.04,6.661338147750939e-16,1.1112373184701931,1.1112373184701925,-4.7184478546569e-16,0.17965028700618005,0.17965028700618052,SG-slack,gen-3
0.05,8.88178419700156e-16,1.1112373184701934,1.1112373184701925,-2.803313137178299e-15,0.17965028700617772,0.17965028700618052,SG-slack,gen-3
0.06,1.7763568394002505e-15,1.1112373184701942,1.1112373184701925,1.1102230246251834e-16,0.17965028700618063,0.17965028700618052,SG-slack,gen-3
0.07,1.7763568394002505e-15,1.1112373184701942,1.1112373184701925,1.1102230246251565e-16,0.17965028700618063,0.17965028700618052,SG-slack,gen-3
0.08,1.7763568394002998e-15,1.1112373184701942,1.1112373184701925,8.326672684686209e-17,0.1796502870061806,0.17965028700618052,SG-slack,gen-3
0.09,1.7763568394002505e-15,1.1112373184701942,1.1112373184701925,-2.1926904736346806e-15,0.17965028700617833,0.17965028700618052,SG-slack,gen-3
0.1,1.7763568394002505e-15,1.1112373184701942,1.1112373184701925,8.326672684657859e-17,0.1796502870061806,0.17965028700618052,SG-slack,gen-3
0.11,1.5543122344752562e-15,1.111237318470194,1.1112373184701925,-1.83186799063118e-15,0.1796502870061787,0.17965028700618052,SG-slack,gen-3
0.12,2.220446049250313e-15,1.1112373184701947,1.1112373184701925,-1.6653345369377348e-16,0.17965028700618035,0.17965028700618052,SG-slack,gen-3
0.13,1.7763568394003246e-15,1.1112373184701942,1.1112373184701925,8.326672684684514e-17,0.1796502870061806,0.17965028700618052,SG-slack,gen-3
0.14,1.7763568394003246e-15,1.1112373184701942,1.1112373184701925,8.326672684684514e-17,0.1796502870061806,0.17965028700618052,SG-slack,gen-3
0.15,2.220446049250313e-15,1.1112373184701947,1.1112373184701925,-1.6653345369377964e-16,0.17965028700618035,0.17965028700618052,SG-slack,gen-3
0.16,2.220446049250313e-15,1.1112373184701947,1.1112373184701925,-1.6653345369429117e-16,0.17965028700618035,0.17965028700618052,SG-slack,gen-3
0.17,2.220446049250313e-15,1.1112373184701947,1.1112373184701925,-2.525757381022225e-15,0.179650287006178,0.17965028700618052,SG-slack,gen-3
0.18,2.220446049250313e-15,1.1112373184701947,1.1112373184701925,-1.3877787807815228e-16,0.17965028700618038,0.17965028700618052,SG-slack,gen-3
0.19,2.220446049250313e-15,1.1112373184701947,1.1112373184701925,-1.942890293094024e-16,0.17965028700618033,0.17965028700618052,SG-slack,gen-3
0.2,2.220446049250313e-15,1.1112373184701947,1.1112373184701925,-1.9428902930939468e-16,0.17965028700618033,0.17965028700618052,SG-slack,gen-3
0.21,2.66453525910008e-15,1.1112373184701951,1.1112373184701925,-4.44089209850645e-16,0.17965028700618008,0.17965028700618052,SG-slack,gen-3
0.22,2.220446049250313e-15,1.1112373184701947,1.1112373184701925,-1.6653345369455002e-16,0.17965028700618035,0.17965028700618052,SG-slack,gen-3
0.23,1.7763568394003984e-15,1.1112373184701942,1.1112373184701925,8.326672684680354e-17,0.1796502870061806,0.17965028700618052,SG-slack,gen-3
0.24,1.7763568394002505e-15,1.1112373184701942,1.1112373184701925,-2.1649348980181816e-15,0.17965028700617836,0.17965028700618052,SG-slack,gen-3
0.25,2.886579864025407e-15,1.1112373184701954,1.1112373184701925,-2.831068712794149e-15,0.1796502870061777,0.17965028700618052,SG-slack,gen-3
