t_s,delta_p_pu,p_abs_pu,p_initial_pu,delta_q_pu,q_abs_pu,q_initial_pu,asset_type,device_name
0.14,-2.4424906541753073e-15,1.0000000000002327,1.0000000000002351,1.332267629550225e-15,1.5751978055252802,1.5751978055252789,GFL,gen-2
0.15,-2.6645352591003757e-15,1.0000000000002325,1.0000000000002351,1.7763568394002505e-15,1.5751978055252807,1.5751978055252789,GFL,gen-2
0.16,-2.6645352591003757e-15,1.0000000000002325,1.0000000000002351,1.7763568394002505e-15,1.5751978055252807,1.5751978055252789,GFL,gen-2
0.17,-2.4424906541753444e-15,1.0000000000002327,1.0000000000002351,1.7763568394002505e-15,1.5751978055252807,1.5751978055252789,GFL,gen-2
0.18,-2.442490654175406e-15,1.0000000000002327,1.0000000000002351,1.5543122344752192e-15,1.5751978055252804,1.5751978055252789,GFL,gen-2
0.19,-2.220446049250375e-15,1.000000000000233,1.0000000000002351,1.776356839400189e-15,1.5751978055252807,1.5751978055252789,GFL,gen-2
0.2,-2.4424906541753444e-15,1.0000000000002327,1.0000000000002351,1.7763568394002505e-15,1.5751978055252807,1.5751978055252789,GFL,gen-2
0.21,-2.4424906541752706e-15,1.0000000000002327,1.0000000000002351,1.7763568394002505e-15,1.5751978055252807,1.5751978055252789,GFL,gen-2
0.22,-2.6645352591003757e-15,1.0000000000002325,1.0000000000002351,1.5543122344752192e-15,1.5751978055252804,1.5751978055252789,GFL,gen-2
0.23,-2.6645352591003757e-15,1.0000000000002325,1.0000000000002351,1.5543122344752192e-15,1.5751978055252804,1.5751978055252789,GFL,gen-2
0.24,-2.6645352591002893e-15,1.0000000000002325,1.0000000000002351,1.7763568394002505e-15,1.5751978055252807,1.5751978055252789,GFL,gen-2
0.25,-2.4424906541753444e-15,1.0000000000002327,1.0000000000002351,1.5543122344752192e-15,1.5751978055252804,1.5751978055252789,GFL,gen-2
0.26,0.03951049770696942,1.0395104977072047,1.0000000000002351,-0.058861550148485944,1.516336255376793,1.5751978055252789,GFL,gen-2
0.27,0.021309114156727777,1.021309114156963,1.0000000000002351,-0.04480395719131744,1.5303938483339614,1.5751978055252789,GFL,gen-2
0.28,0.01317774064112147,1.0131777406413567,1.0000000000002351,-0.02844393491383156,1.5467538706114474,1.5751978055252789,GFL,gen-2
0.29,0.020260337205990766,1.020260337206226,1.0000000000002351,-0.025887085212701406,1.5493107203125773,1.5751978055252789,GFL,gen-2
0.3,0.027574971180601652,1.0275749711808368,1.0000000000002351,-0.026428375733082283,1.5487694297921966,1.5751978055252789,GFL,gen-2
0.31,0.029753591049507234,1.0297535910497424,1.0000000000002351,-0.021443517579759628,1.553754287945519,1.5751978055252789,GFL,gen-2
0.32,0.028892068553247188,1.0288920685534824,1.0000000000002351,-0.015920594258727157,1.5592772112665518,1.5751978055252789,GFL,gen-2
0.33,0.02625222850156497,1.0262522285018,1.0000000000002351,-0.011758410641377611,1.5634393948839012,1.5751978055252789,GFL,gen-2
0.34,0.024072646611541834,1.0240726466117769,1.0000000000002351,-0.00901515699164448,1.5661826485336343,1.5751978055252789,GFL,gen-2
0.35,0.023741928909158674,1.0237419289093939,1.0000000000002351,-0.008126432336514385,1.5670713731887644,1.5751978055252789,GFL,gen-2
0.36,0.024414457086362872,1.024414457086598,1.0000000000002351,-0.007935240508982134,1.5672625650162968,1.5751978055252789,GFL,gen-2
0.37,0.024906377551864162,1.0249063775520992,1.0000000000002351,-0.007193056380805971,1.5680047491444729,1.5751978055252789,GFL,gen-2
0.38,0.024724510463324932,1.02472451046356,1.0000000000002351,-0.005804780271665652,1.5693930252536132,1.5751978055252789,GFL,gen-2
0.39,0.023963080249523035,1.0239630802497581,1.0000000000002351,-0.00415811068622857,1.5710396948390501,1.5751978055252789,GFL,gen-2
0.4,0.023067926212603014,1.0230679262128382,1.0000000000002351,-0.002646759800075447,1.5725510457252034,1.5751978055252789,GFL,gen-2
0.41,0.022413685802047684,1.0224136858022828,1.0000000000002351,-0.0014769261794769484,1.5737208793458017,1.5751978055252789,GFL,gen-2
0.42,0.02203839943966566,1.0220383994399007,1.0000000000002351,-0.0005530472744724014,1.5746447582508063,1.5751978055252789,GFL,gen-2
0.43,0.02175561057793649,1.0217556105781715,1.0000000000002351,0.0003478283557694825,1.5755456338810483,1.5751978055252789,GFL,gen-2
0.44,0.02137261774280548,1.0213726177430404,1.0000000000002351,0.0013578233956222617,1.576555628920901,1.5751978055252789,GFL,gen-2
0.45,0.020812854325828627,1.0208128543260637,1.0000000000002351,0.0024726933378313243,1.57767049886311,1.5751978055252789,GFL,gen-2
0.46,0.020118081541136996,1.020118081541372,1.0000000000002351,0.0036124041767404465,1.5788102097020194,1.5751978055252789,GFL,gen-2
0.47,0.019370225121331564,1.0193702251215666,1.0000000000002351,0.004702197774642037,1.5799000032999209,1.5751978055252789,GFL,gen-2
0.48,0.01861486617231571,1.018614866172551,1.0000000000002351,0.005721474179693655,1.5809192797049725,1.5751978055252789,GFL,gen-2
0.49,0.017841919829847983,1.017841919830083,1.0000000000002351,0.006695400254532413,1.5818932057798112,1.5751978055252789,GFL,gen-2
0.5,0.017012916575727784,1.017012916575963,1.0000000000002351,0.007656831740772539,1.5828546372660512,1.5751978055252789,GFL,gen-2
0.51,0.016096774114486533,1.0160967741147218,1.0000000000002351,0.008618647837210046,1.583816453362489,1.5751978055252789,GFL,gen-2
0.52,0.015087043033490424,1.0150870430337255,1.0000000000002351,0.009570536675840931,1.5847683422011198,1.5751978055252789,GFL,gen-2
0.53,0.013996191107020646,1.0139961911072557,1.0000000000002351,0.0104923443440301,1.585690149869309,1.5751978055252789,GFL,gen-2
0.54,0.01283978315224491,1.01283978315248,1.0000000000002351,0.011368744759589561,1.5865665502848683,1.5751978055252789,GFL,gen-2
0.55,0.011625498300864411,1.0116254983010995,1.0000000000002351,0.012194661259550179,1.587392466784829,1.5751978055252789,GFL,gen-2
0.56,0.010352512763024558,1.0103525127632598,1.0000000000002351,0.012971408954791873,1.5881692144800708,1.5751978055252789,GFL,gen-2
