t_s,df_hz
0.0,-5.9818816566803434e-12
0.01,-5.9818816566803434e-12
0.02,-5.9818816566803434e-12
0.03,-5.9818816566803434e-12
0.04,-5.9818816566803434e-12
0.05,-5.9818816566803434e-12
0.06,-5.9818816566803434e-12
0.07,-5.9818816566803434e-12
0.08,-5.9818816566803434e-12
0.09,-5.9818816566803434e-12
0.1,-5.9818816566803434e-12
0.11,-5.9818816566803434e-12
0.12,-5.9818816566803434e-12
0.13,-5.9818816566803434e-12
0.14,-5.9818816566803434e-12
0.15,-5.9818816566803434e-12
0.16,-5.9818816566803434e-12
0.17,-5.9818816566803434e-12
0.18,-5.9818816566803434e-12
0.19,-5.9818816566803434e-12
0.2,-5.9818816566803434e-12
0.21,-5.9818816566803434e-12
0.22,-5.9818816566803434e-12
0.23,-5.9818816566803434e-12
0.24,-5.9818816566803434e-12
0.25,-5.9818816566803434e-12
0.26,-0.0008615198838175409
0.27,-0.0015988432514384894
0.28,-0.00227913761480922
0.29,-0.0029910076974702616
0.3,-0.0038954875875969824
0.31,-0.004857744761056497
0.32,-0.005727019184640819
0.33,-0.006490987184237506
0.34,-0.007193292875610993
0.35,-0.007895544341294036
0.36,-0.008642156685575018
0.37,-0.009432341052363593
0.38,-0.01024184256770853
0.39,-0.011052846664363923
0.4,-0.011863372049619632
0.41,-0.012683027437420667
0.42,-0.013522728370097657
0.43,-0.014386597448961546
0.44,-0.015271648215230244
0.45,-0.016172340777156475
0.46,-0.017084695529126514
0.47,-0.01800751809160107
0.48,-0.018941092494303865
0.49,-0.019885209718813166
0.5,-0.02083819104235046
0.51,-0.02179720360097162
0.52,-0.022759145268583084
0.53,-0.023721292520022894
0.54,-0.024681386609268587
0.55,-0.025637341156655866
0.56,-0.026586941083933942
0.57,-0.027527759671270545
0.58,-0.028457278898860187
0.59,-0.02937306485328205
0.6,-0.030272870543371733
0.61,-0.031154637528666245
0.62,-0.032016446873554746
0.63,-0.03285648291249358
0.64,-0.03367303771613411
0.65,-0.034464543880502754
0.66,-0.03522960751499725
0.67,-0.03596702307822128
0.68,-0.03667577008825038
0.69,-0.037355002801618915
0.7,-0.03800404307906962
0.71,-0.03862237925794697
0.72,-0.03920966752237015
0.73,-0.03976573098951344
0.74,-0.0402905542549993
0.75,-0.04078427431401671
