t_s,p_oc_pu,delta_p_oc_pu,p_ref_eff_pu,p_error_pu,omega_pll_pu,Kw
0.0,0.4315015383301878,0.0,1.078753845827962,0.6472523074977742,0.9999999999999003,10.0
0.01,0.4315015383301878,0.0,1.078753845827962,0.6472523074977742,0.9999999999999003,10.0
0.02,0.4315015383301878,0.0,1.078753845827962,0.6472523074977742,0.9999999999999003,10.0
0.03,0.4315015383301878,0.0,1.078753845827962,0.6472523074977742,0.9999999999999003,10.0
0.04,0.4315015383301878,0.0,1.078753845827962,0.6472523074977742,0.9999999999999003,10.0
0.05,0.4315015383301878,0.0,1.078753845827962,0.6472523074977742,0.9999999999999003,10.0
0.06,0.4315015383301878,0.0,1.078753845827962,0.6472523074977742,0.9999999999999003,10.0
0.07,0.4315015383301878,0.0,1.078753845827962,0.6472523074977742,0.9999999999999003,10.0
0.08,0.4315015383301878,0.0,1.078753845827962,0.6472523074977742,0.9999999999999003,10.0
0.09,0.4315015383301878,0.0,1.078753845827962,0.6472523074977742,0.9999999999999003,10.0
0.1,0.4315015383301878,0.0,1.078753845827962,0.6472523074977742,0.9999999999999003,10.0
0.11,0.4315015383301878,0.0,1.078753845827962,0.6472523074977742,0.9999999999999003,10.0
0.12,0.4315015383301878,0.0,1.078753845827962,0.6472523074977742,0.9999999999999003,10.0
0.13,0.4315015383301878,0.0,1.078753845827962,0.6472523074977742,0.9999999999999003,10.0
0.14,0.4315015383301878,0.0,1.078753845827962,0.6472523074977742,0.9999999999999003,10.0
0.15,0.4315015383301878,0.0,1.078753845827962,0.6472523074977742,0.9999999999999003,10.0
0.16,0.4315015383301878,0.0,1.078753845827962,0.6472523074977742,0.9999999999999003,10.0
0.17,0.4315015383301878,0.0,1.078753845827962,0.6472523074977742,0.9999999999999003,10.0
0.18,0.4315015383301878,0.0,1.078753845827962,0.6472523074977742,0.9999999999999003,10.0
0.19,0.4315015383301878,0.0,1.078753845827962,0.6472523074977742,0.9999999999999003,10.0
0.2,0.4315015383301878,0.0,1.078753845827962,0.6472523074977742,0.9999999999999003,10.0
0.21,0.4315015383301878,0.0,1.078753845827962,0.6472523074977742,0.9999999999999003,10.0
0.22,0.4315015383301878,0.0,1.078753845827962,0.6472523074977742,0.9999999999999003,10.0
0.23,0.4315015383301878,0.0,1.078753845827962,0.6472523074977742,0.9999999999999003,10.0
0.24,0.4315015383301878,0.0,1.078753845827962,0.6472523074977742,0.9999999999999003,10.0
0.25,0.4315015383301878,0.0,1.078753845827962,0.6472523074977742,0.9999999999999003,10.0
0.26,0.43714811282971233,0.005646574499524527,1.0802165417885785,0.6430684289588663,0.9999414921614758,10.0
0.27,0.43911692289035703,0.007615384560169249,1.082006537578622,0.6428896146882651,0.9998698923298739,10.0
0.28,0.4386096536766849,0.007108115346497167,1.0836595296773508,0.6450498760006658,0.9998037726459247,10.0
0.29,0.43844453838576875,0.006943000055580988,1.0849670604346597,0.646522522048891,0.9997514714156324,10.0
0.3,0.4394685948172066,0.007967056487018878,1.0862544841566584,0.6467858893394516,0.9996999744667524,10.0
0.31,0.4408147967651026,0.00931325843491485,1.0873946339808533,0.6465798372157506,0.9996543684737845,10.0
0.32,0.44183679238634954,0.010335254056161806,1.0881708354693609,0.6463340430830113,0.9996233204142443,10.0
0.33,0.4422849180508024,0.010783379720614637,1.0886661848959092,0.6463812668451068,0.9996035064371823,10.0
0.34,0.44223999445080325,0.010738456120615485,1.0890316825200104,0.6467916880692072,0.9995888865322183,10.0
0.35,0.4420472062964175,0.010545667966229747,1.0893839553593514,0.6473367490629339,0.9995747956186447,10.0
0.36,0.44196116091827453,0.010459622588086765,1.0897935807353285,0.6478324198170541,0.9995584106036056,10.0
0.37,0.44199914182200356,0.010497603491815782,1.09025178849392,0.6482526466719165,0.999540082293262,10.0
0.38,0.4420579399416818,0.010556401611494034,1.0907130244609042,0.6486550845192226,0.9995216328545825,10.0
0.39,0.4420395496253774,0.010538011295189666,1.0911522851420707,0.6491127355166932,0.9995040624273359,10.0
0.4,0.4419175893833995,0.010416051053211691,1.0915738759758111,0.6496562865924117,0.9994871987939863,10.0
0.41,0.44173518454543387,0.010233646215246113,1.0919969303341373,0.6502617457887034,0.9994702766196533,10.0
0.42,0.4415503523681745,0.010048814037986768,1.092438162959662,0.6508878105914877,0.9994526273146322,10.0
0.43,0.4413903592303348,0.009888820900147036,1.0929008349196438,0.6515104756893091,0.999434120436233,10.0
0.44,0.44124610161218947,0.009744563282001684,1.0933769840318022,0.6521308824196125,0.9994150744717467,10.0
0.45,0.441092240859689,0.00959070252950128,1.0938566720484042,0.6527644311887152,0.9993958869510826,10.0
0.46,0.4409095871752247,0.009408048845036978,1.0943343718600183,0.6534247846847934,0.9993767789586181,10.0
0.47,0.4406944899886953,0.009192951658507517,1.094809624185484,0.6541151341967889,0.9993577688655993,10.0
0.48,0.4404537349560383,0.008952196625850494,1.0952839970393282,0.65483026208329,0.9993387939514455,10.0
0.49,0.4401943101820716,0.008692771851883864,1.0957577716714464,0.6555634614893749,0.9993198429661608,10.0
0.5,0.43991729319863515,0.00841575486844741,1.0962287914310935,0.6563114982324583,0.9993010021757751,10.0
0.51,0.4396183530924554,0.008116814762267614,1.0966934554709833,0.6570751023785278,0.9992824156141795,10.0
0.52,0.43929190068830837,0.0077903623581205665,1.097148312788088,0.6578564120997799,0.9992642213214953,10.0
0.53,0.4389346554791041,0.007433117148916295,1.0975909525697818,0.6586562970906777,0.9992465157302275,10.0
0.54,0.4385464353000442,0.007044896969856436,1.0980198902059959,0.6594734549059514,0.999229358224779,10.0
0.55,0.4381287454842944,0.006627207154106652,1.0984339366207507,0.6603051911364562,0.9992127963681887,10.0
0.56,0.43768301895037,0.006181480620182217,1.0988316987996378,0.6611486798492676,0.9991968858810333,10.0
0.57,0.43720984410600555,0.005708305775817811,1.09921151075265,0.6620016666466442,0.9991816934029127,10.0
0.58,0.43670930694448395,0.005207768614296177,1.0995716766443373,0.6628623696998533,0.9991672867672452,10.0
0.59,0.4361817638254424,0.0046802254952546364,1.09991074178317,0.6637289779577273,0.999153724161692,10.0
0.6,0.43562833753148145,0.004126799201293689,1.1002276010067156,0.6645992634752341,0.9991410497927501,10.0
0.61,0.4350508983589693,0.0035493600287815094,1.1005214390575997,0.6654705406986304,0.9991292962707148,10.0
0.62,0.4344517365537423,0.0029501982235545076,1.1007916128505415,0.666339876296799,0.9991184893189972,10.0
0.63,0.4338332581980139,0.0023317198678260583,1.1010375800319345,0.6672043218339206,0.9991086506317415,10.0
0.64,0.43319788630347483,0.001696347973287079,1.1012589036690508,0.6680610173655759,0.9990997976862568,10.0
0.65,0.43254813527680175,0.001046596946613964,1.1014552980909016,0.6689071628140999,0.9990919419093828,10.0
0.66,0.43188672049986093,0.0003851821696731507,1.101626665891454,0.669739945391593,0.9990850871973606,10.0
0.67,0.43121659532238726,-0.00028494300780048125,1.1017731011948624,0.6705565058724752,0.9990792297852243,10.0
0.68,0.4305408996774873,-0.0009606386527004627,1.101894866335405,0.6713539666579177,0.9990743591796025,10.0
0.69,0.42986287062988937,-0.0016386677002983908,1.1019923635710844,0.6721294929411952,0.9990704592901754,10.0
0.7,0.4291857708019895,-0.002315767528198253,1.102066117484732,0.6728803466827423,0.9990675091336295,10.0
0.71,0.4285128561262117,-0.002988682203976122,1.1021167695989715,0.6736039134727597,0.9990654830490598,10.0
