mode,real_part,imag_part,abs_value,freq_hz,damping_pct,status,type,unstable,near_axis,lightly_damped_osc
1,-4092.61758354793,-29118.181610812793,29404.387750902788,4634.302537208384,13.918390745688205,Stable,Osc,false,false,false
2,-4092.61758354793,29118.181610812793,29404.387750902788,4634.302537208384,13.918390745688205,Stable,Osc,false,false,false
3,-3061.8842425698167,-23216.698666501008,23417.733282408164,3695.0523550486505,13.075066684058449,Stable,Osc,false,false,false
4,-3061.8842425698167,23216.698666501008,23417.733282408164,3695.0523550486505,13.075066684058449,Stable,Osc,false,false,false
5,-3037.2304231144362,-22833.482752838474,23034.597961919455,3634.0616481177813,13.185515232935918,Stable,Osc,false,false,false
6,-3037.2304231144362,22833.482752838474,23034.597961919455,3634.0616481177813,13.185515232935918,Stable,Osc,false,false,false
7,-2054.2860800113076,-4245.0294935214215,4715.969327656294,675.6174274648191,43.56020867150615,Stable,Osc,false,false,false
8,-2054.2860800113076,4245.0294935214215,4715.969327656294,675.6174274648191,43.56020867150615,Stable,Osc,false,false,false
9,-1839.9396099518126,-8252.95894668314,8455.572668004628,1313.4992114991037,21.760082754820758,Stable,Osc,false,false,false
10,-1839.9396099518126,8252.95894668314,8455.572668004628,1313.4992114991037,21.760082754820758,Stable,Osc,false,false,false
11,-1736.6389825341964,-8487.699546772297,8663.541917249322,1350.859338347651,20.045369424213277,Stable,Osc,false,false,false
12,-1736.6389825341964,8487.699546772297,8663.541917249322,1350.859338347651,20.045369424213277,Stable,Osc,false,false,false
13,-1682.8352303113359,-4737.3742190155735,5027.389869840057,753.9765242324357,33.47333852914164,Stable,Osc,false,false,false
14,-1682.8352303113359,4737.3742190155735,5027.389869840057,753.9765242324357,33.47333852914164,Stable,Osc,false,false,false
15,-1495.8509181047643,-5724.885810266062,5917.084375753026,911.1438753404943,25.280202598334554,Stable,Osc,false,false,false
16,-1495.8509181047643,5724.885810266062,5917.084375753026,911.1438753404943,25.280202598334554,Stable,Osc,false,false,false
17,-1308.584983541514,-6096.086563514854,6234.955176183441,970.2223100994744,20.98788117258814,Stable,Osc,false,false,false
18,-1308.584983541514,6096.086563514854,6234.955176183441,970.2223100994744,20.98788117258814,Stable,Osc,false,false,false
19,-1000.0,0.0,1000.0,0.0,100.0,Stable,NonOsc,false,false,false
20,-1000.0,0.0,1000.0,0.0,100.0,Stable,NonOsc,false,false,false
21,-715.2581681427318,-463.19996139280136,852.1434452773718,73.72056349563942,83.93635744154741,Stable,Osc,false,false,false
22,-715.2581681427318,463.19996139280136,852.1434452773718,73.72056349563942,83.93635744154741,Stable,Osc,false,false,false
23,-196.9501930736288,-750.2947220514724,775.7135737435796,119.41311379025151,25.389550955406232,Stable,Osc,false,false,false
24,-196.9501930736288,750.2947220514724,775.7135737435796,119.41311379025151,25.389550955406232,Stable,Osc,false,false,false
25,-103.33183749521862,-8.487704870554868,103.67984266050904,1.350860185653963,99.66434636052648,Stable,Osc,false,false,false
26,-103.33183749521862,8.487704870554868,103.67984266050904,1.350860185653963,99.66434636052648,Stable,Osc,false,false,false
27,-66.34837756490933,-34.41750288154128,74.74404130160923,5.477715712476846,88.76744742390703,Stable,Osc,false,false,false
28,-66.34837756490933,34.41750288154128,74.74404130160923,5.477715712476846,88.76744742390703,Stable,Osc,false,false,false
29,-54.72273461448034,-202.73822330765796,209.9937257958738,32.266790393082275,26.059223630173623,Stable,Osc,false,false,false
30,-54.72273461448034,202.73822330765796,209.9937257958738,32.266790393082275,26.059223630173623,Stable,Osc,false,false,false
31,-49.9999999999999,0.0,49.9999999999999,0.0,100.0,Stable,NonOsc,false,false,false
32,-45.362593685694144,0.0,45.362593685694144,0.0,100.0,Stable,NonOsc,false,false,false
33,-41.40530112775228,-1.9957906933292369,41.45337310728071,0.31763995422014907,99.8840336119234,Stable,Osc,false,false,false
34,-41.40530112775228,1.9957906933292369,41.45337310728071,0.31763995422014907,99.8840336119234,Stable,Osc,false,false,false
35,-38.2881050352625,-5.114591685284855,38.62820258953914,0.8140125486097922,99.11956153411924,Stable,Osc,false,false,false
36,-38.2881050352625,5.114591685284855,38.62820258953914,0.8140125486097922,99.11956153411924,Stable,Osc,false,false,false
37,-37.69911184307803,-376.99111843077554,378.871385049655,60.00000000000006,9.950371902100017,Stable,Osc,false,false,false
38,-37.69911184307803,376.99111843077554,378.871385049655,60.00000000000006,9.950371902100017,Stable,Osc,false,false,false
39,-30.45357035869212,0.0,30.45357035869212,0.0,100.0,Stable,NonOsc,false,false,false
40,-25.47076558738365,-93.58029619648975,96.98469846233581,14.893766715675037,26.262664101879192,Stable,Osc,false,false,false
41,-25.47076558738365,93.58029619648975,96.98469846233581,14.893766715675037,26.262664101879192,Stable,Osc,false,false,false
42,-21.213245625134245,0.0,21.213245625134245,0.0,100.0,Stable,NonOsc,false,false,false
43,-10.322763790142552,0.0,10.322763790142552,0.0,100.0,Stable,NonOsc,false,false,false
44,-6.062662521448446,0.0,6.062662521448446,0.0,100.0,Stable,NonOsc,false,false,false
45,-3.164786210537705,-6.379702682947422,7.1215502582805765,1.015361217447709,44.43956857368032,Stable,Osc,false,false,false
46,-3.164786210537705,6.379702682947422,7.1215502582805765,1.015361217447709,44.43956857368032,Stable,Osc,false,false,false
47,-2.9315971678154984,-1.0891897952698484,3.1273945009326574,0.17334993988244585,93.73928255425506,Stable,Osc,false,false,false
48,-2.9315971678154984,1.0891897952698484,3.1273945009326574,0.17334993988244585,93.73928255425506,Stable,Osc,false,false,false
49,-2.4563070879025943,-9.540552507166252,9.851679382322427,1.5184260913432843,24.932876848490643,Stable,Osc,false,false,false
50,-2.4563070879025943,9.540552507166252,9.851679382322427,1.5184260913432843,24.932876848490643,Stable,Osc,false,false,false
51,-1.5476096582026209,0.0,1.5476096582026209,0.0,100.0,Stable,NonOsc,false,false,false
52,-0.8944075328637922,-4.880403609625519,4.961683608180724,0.7767403587554301,18.026291144181602,Stable,Osc,false,false,false
53,-0.8944075328637922,4.880403609625519,4.961683608180724,0.7767403587554301,18.026291144181602,Stable,Osc,false,false,false
54,-0.7004687901272452,-0.5659122053956391,0.900507162746684,0.09006772484475194,77.78603203895777,Stable,Osc,false,false,false
55,-0.7004687901272452,0.5659122053956391,0.900507162746684,0.09006772484475194,77.78603203895777,Stable,Osc,false,false,false
56,0.0,0.0,0.0,0.0,100.0,Near-axis,NonOsc,false,true,false
